arm,axis,value,n_seeds,delta_discounted_mean,delta_discounted_ci95,delta_myopic_mean,delta_myopic_ci95,paired_mean,paired_ci95,paired_lo,paired_hi,paired_excludes_zero
ppo,delayed_reward_strength,0.25,15,0.3656766403547324,0.07914016683128115,-0.3346726133570215,0.02831463389688849,-0.7003492537117537,0.07043953972088589,-0.7707887934326396,-0.6299097139908678,True
ppo,delayed_reward_strength,0.5,15,0.2092417392342819,0.06019044151089254,-0.4981012687566468,0.034468044117689424,-0.7073430079909288,0.046009508016694844,-0.7533525160076235,-0.661333499974234,True
ppo,delayed_reward_strength,1.0,15,0.14035542367337434,0.07950630133209959,-0.5530307207514231,0.03618921640098536,-0.6933861444247975,0.07039166113700408,-0.7637778055618016,-0.6229944832877934,True
ppo,delayed_reward_strength,2.0,15,0.14537609118109143,0.07435311088963116,-0.5553948532437061,0.0336670726897823,-0.7007709444247975,0.06502900897134908,-0.7657999533961466,-0.6357419354534484,True
ppo,transition_coupling_strength,0.5,15,0.3261824726180904,0.1014116381100723,0.2772316365638801,0.06262095595865745,-0.048950836054210294,0.0483507827564748,-0.0973016188106851,-0.0006000532977354922,True
ppo,transition_coupling_strength,1.0,15,0.43471499213831033,0.07911147507103206,0.39830245807560505,0.06110020878854902,-0.03641253406270527,0.04875393302025508,-0.08516646708296036,0.012341398957549814,False
ppo,transition_coupling_strength,2.0,15,0.3458817212571303,0.09288875608826028,0.3083716663642698,0.07372489393169279,-0.03751005489286054,0.04497355459513445,-0.08248360948799499,0.007463499702273904,False
ppo,transition_coupling_strength,3.0,15,0.25723823433422366,0.08321112226900032,0.24846077525764795,0.08276492932884724,-0.008777459076575707,0.050062826977658216,-0.05884028605423392,0.04128536790108251,False
ppo,fatigue_rate,0.1,15,-0.03543375109126309,0.0606817650962291,-0.07105343979739902,0.036305778852014595,-0.03561968870613594,0.05514562255260847,-0.0907653112587444,0.019525933846472533,False
ppo,fatigue_rate,0.2,15,0.005234254725708028,0.08065210375115235,-0.010951541423911105,0.050082042399902965,-0.016185796149619132,0.07113272911468377,-0.0873185252643029,0.054946932965064636,False
ppo,fatigue_rate,0.4,15,0.11372497450665885,0.0695565173420155,0.06785884645968157,0.05847495838199783,-0.04586612804697728,0.05988011492801365,-0.10574624297499094,0.014013986881036368,False
ppo,fatigue_rate,0.6,15,0.11651969267215286,0.07260674759008579,0.05795780647629261,0.05485725782474457,-0.058561886195860245,0.060402050530174035,-0.11896393672603428,0.0018401643343137902,False
fqi,delayed_reward_strength,0.25,15,-0.0010678042345802386,0.047604110351860726,-0.06270294261822637,0.038123557315398335,-0.06163513838364613,0.04090323730221597,-0.1025383756858621,-0.020731901081430158,True
fqi,delayed_reward_strength,0.5,15,0.027343368804773654,0.049724846481013496,-0.06729535968435889,0.04145189340174367,-0.09463872848913255,0.03537882595658177,-0.1300175544457143,-0.05925990253255078,True
fqi,delayed_reward_strength,1.0,15,0.04753718418270787,0.05013086101953192,-0.0643341793175594,0.03901164853770889,-0.11187136350026727,0.035695990728828696,-0.14756735422909598,-0.07617537277143857,True
fqi,delayed_reward_strength,2.0,15,0.05254628553246901,0.04635809474592199,-0.062274364318364334,0.03803441409649529,-0.11482064985083335,0.03440397762431463,-0.14922462747514798,-0.08041667222651872,True
fqi,transition_coupling_strength,0.5,15,-0.26279411635143496,0.07219603144448389,-0.17095214842303233,0.05606701781055184,0.09184196792840263,0.07994731871182813,0.011894649216574502,0.17178928664023074,True
fqi,transition_coupling_strength,1.0,15,-0.6201702985339854,0.08408120487295603,-0.4294186235373102,0.08394696273605314,0.19075167499667522,0.08281183550548889,0.10793983949118634,0.2735635105021641,True
fqi,transition_coupling_strength,2.0,15,-0.7242978913202673,0.07627121254633851,-0.3807174993407792,0.06616538668625113,0.34358039197948814,0.06556882917414443,0.2780115628053437,0.40914922115363256,True
fqi,transition_coupling_strength,3.0,15,-0.6618646209514331,0.11185556599596035,-0.36084355624935716,0.09466483273668513,0.3010210647020759,0.1131356427596974,0.1878854219423785,0.4141567074617733,True
fqi,fatigue_rate,0.1,15,0.11129908668038048,0.04365897294698757,0.06102923200218,0.03202154994379331,-0.05026985467820048,0.03688712259049919,-0.08715697726869967,-0.013382732087701285,True
fqi,fatigue_rate,0.2,15,0.12967553914267477,0.05518136962440372,0.04004934110760409,0.047950127635871975,-0.08962619803507067,0.04939722092867565,-0.13902341896374631,-0.040228977106395024,True
fqi,fatigue_rate,0.4,15,0.11579417331426087,0.06300151131022025,0.018617502003682285,0.04586104111540971,-0.0971766713105786,0.05593840696636891,-0.1531150782769475,-0.041238264344209685,True
fqi,fatigue_rate,0.6,15,0.028154745850319466,0.06577658887945742,-0.06496362390629193,0.05098699423525882,-0.09311836975661139,0.06896015978443916,-0.16207852954105056,-0.02415820997217223,True
